sku,product,category,quantity,price
101,orange,fruits,50,3
102,yogurt orange,yogurt,70,5.99
103,dry orange,fruits,70,2.99
104,soap orange,cleaning,70,1.99
105,soda 365ml orange,drinks,70,4.99
106,soda 700ml orange,drinks,70,4.99
107,soda 1L orange,drinks,70,4.99
108,"soda 1,5L orange",drinks,70,4.99
109,soda 2L orange,drinks,70,4.99
110,soap orange,cleaning,70,1.99
111,soda diet 365ml orange,drinks,70,4.99
112,soda diet 700ml orange,drinks,70,4.99
113,soda diet 1L orange,drinks,70,4.99
114,"soda diet 1,5L orange",drinks,70,4.99
115,soda diet 2L orange,drinks,70,4.99
116,juice 300ml orange,drinks,70,10.00
117,juice 600ml orange,drinks,70,10.00
118,juice 1L orange,drinks,70,10.00
119,juice 2L orange,drinks,70,10.00
120,juice diet 300ml orange,drinks,70,10.00
121,juice diet 600ml orange,drinks,70,10.00
122,juice diet 1L orange,drinks,70,10.00
123,juice diet 2L orange,drinks,70,10.00
124,whey protein 900g orange,suplements,70,40.00
125,whey protein 2kg orange,suplements,70,100.00
126,whey protein 5kg orange,suplements,70,180.00
127,whey protein isolado 900g orange,suplements,70,40.00
128,whey protein isolado 2kg orange,suplements,70,100.00
129,whey protein isolado 5kg orange,suplements,70,180.00
130,whey protein hisdrolisado 900g orange,suplements,70,500.00
131,whey protein hisdrolisado 2kg orange,suplements,70,1000.00
132,whey protein hisdrolisado 5kg orange,suplements,70,1500.00
133,ice cream orange,ice cream,70,5.00
134,5L ice cream orange,ice cream,70,25.99
135,absolute 300ml orange,vodka,70,70.00
136,absolute 600ml orange,vodka,70,70.00
137,absolute 700ml orange,vodka,70,70.00
138,absolute 1L orange,vodka,70,70.00
139,"absolute 1,5L orange",vodka,70,70.00
140,absolute 5L orange,vodka,70,70.00
141,smirnoff ice orange,drink,70,9.99
142,absolute zero 300ml orange,vodka,70,70.00
143,absolute zero 600ml orange,vodka,70,70.00
144,absolute zero 700ml orange,vodka,70,70.00
145,absolute zero 1L orange,vodka,70,70.00
146,"absolute zero 1,5L orange",vodka,70,70.00
147,absolute zero 5L orange,vodka,70,70.00
148,smirnoff ice orange,drink,70,9.99
149,51 ice orange,drink,70,9.99
150,skol beats orange,drink,70,9.99
151,absolute light 300ml orange,vodka,70,70.00
152,absolute light 600ml orange,vodka,70,70.00
153,absolute light 700ml orange,vodka,70,70.00
154,absolute light 1L orange,vodka,70,70.00
155,"absolute light 1,5L orange",vodka,70,70.00
156,absolute light 5L orange,vodka,70,70.00
157,absolute condensed 300ml orange,vodka,70,70.00
158,absolute condensed 600ml orange,vodka,70,70.00
159,absolute condensed 700ml orange,vodka,70,70.00
160,absolute condensed 1L orange,vodka,70,70.00
161,"absolute condensed 1,5L orange",vodka,70,70.00
162,absolute condensed 5L orange,vodka,70,70.00
163,absolute milky 300ml orange,vodka,70,70.00
164,absolute milky 600ml orange,vodka,70,70.00
165,absolute milky 700ml orange,vodka,70,70.00
166,absolute milky 1L orange,vodka,70,70.00
167,"absolute milky 1,5L orange",vodka,70,70.00
168,absolute milky 5L orange,vodka,70,70.00
169,absolute new years edition 300ml orange,vodka,70,70.00
170,absolute new years edition 600ml orange,vodka,70,70.00
171,absolute new years edition 700ml orange,vodka,70,70.00
172,absolute new years edition 1L orange,vodka,70,70.00
173,"absolute new years edition 1,5L orange",vodka,70,70.00
174,absolute new years edition 5L orange,vodka,70,70.00
175,avocado,fruits,50,3
176,yogurt avocado,yogurt,70,5.99
177,dry avocado,fruits,70,2.99
178,soap avocado,cleaning,70,1.99
179,soda 365ml avocado,drinks,70,4.99
180,soda 700ml avocado,drinks,70,4.99
181,soda 1L avocado,drinks,70,4.99
182,"soda 1,5L avocado",drinks,70,4.99
183,soda 2L avocado,drinks,70,4.99
184,soap avocado,cleaning,70,1.99
185,soda diet 365ml avocado,drinks,70,4.99
186,soda diet 700ml avocado,drinks,70,4.99
187,soda diet 1L avocado,drinks,70,4.99
188,"soda diet 1,5L avocado",drinks,70,4.99
189,soda diet 2L avocado,drinks,70,4.99
190,juice 300ml avocado,drinks,70,10.00
191,juice 600ml avocado,drinks,70,10.00
192,juice 1L avocado,drinks,70,10.00
193,juice 2L avocado,drinks,70,10.00
194,juice diet 300ml avocado,drinks,70,10.00
195,juice diet 600ml avocado,drinks,70,10.00
196,juice diet 1L avocado,drinks,70,10.00
197,juice diet 2L avocado,drinks,70,10.00
198,whey protein 900g avocado,suplements,70,40.00
199,whey protein 2kg avocado,suplements,70,100.00
200,whey protein 5kg avocado,suplements,70,180.00
201,whey protein isolado 900g avocado,suplements,70,40.00
202,whey protein isolado 2kg avocado,suplements,70,100.00
203,whey protein isolado 5kg avocado,suplements,70,180.00
204,whey protein hisdrolisado 900g avocado,suplements,70,500.00
205,whey protein hisdrolisado 2kg avocado,suplements,70,1000.00
206,whey protein hisdrolisado 5kg avocado,suplements,70,1500.00
207,ice cream avocado,ice cream,70,5.00
208,5L ice cream avocado,ice cream,70,25.99
209,absolute 300ml avocado,vodka,70,70.00
210,absolute 600ml avocado,vodka,70,70.00
211,absolute 700ml avocado,vodka,70,70.00
212,absolute 1L avocado,vodka,70,70.00
213,"absolute 1,5L avocado",vodka,70,70.00
214,absolute 5L avocado,vodka,70,70.00
215,smirnoff ice avocado,drink,70,9.99
216,absolute zero 300ml avocado,vodka,70,70.00
217,absolute zero 600ml avocado,vodka,70,70.00
218,absolute zero 700ml avocado,vodka,70,70.00
219,absolute zero 1L avocado,vodka,70,70.00
220,"absolute zero 1,5L avocado",vodka,70,70.00
221,absolute zero 5L avocado,vodka,70,70.00
222,smirnoff ice avocado,drink,70,9.99
223,51 ice avocado,drink,70,9.99
224,skol beats avocado,drink,70,9.99
225,absolute light 300ml avocado,vodka,70,70.00
226,absolute light 600ml avocado,vodka,70,70.00
227,absolute light 700ml avocado,vodka,70,70.00
228,absolute light 1L avocado,vodka,70,70.00
229,"absolute light 1,5L avocado",vodka,70,70.00
230,absolute light 5L avocado,vodka,70,70.00
231,absolute condensed 300ml avocado,vodka,70,70.00
232,absolute condensed 600ml avocado,vodka,70,70.00
233,absolute condensed 700ml avocado,vodka,70,70.00
234,absolute condensed 1L avocado,vodka,70,70.00
235,"absolute condensed 1,5L avocado",vodka,70,70.00
236,absolute condensed 5L avocado,vodka,70,70.00
237,absolute milky 300ml avocado,vodka,70,70.00
238,absolute milky 600ml avocado,vodka,70,70.00
239,absolute milky 700ml avocado,vodka,70,70.00
240,absolute milky 1L avocado,vodka,70,70.00
241,"absolute milky 1,5L avocado",vodka,70,70.00
242,absolute milky 5L avocado,vodka,70,70.00
243,absolute new years edition 300ml avocado,vodka,70,70.00
244,absolute new years edition 600ml avocado,vodka,70,70.00
245,absolute new years edition 700ml avocado,vodka,70,70.00
246,absolute new years edition 1L avocado,vodka,70,70.00
247,"absolute new years edition 1,5L avocado",vodka,70,70.00
248,absolute new years edition 5L avocado,vodka,70,70.00
249,grape,fruits,50,3
250,yogurt grape,yogurt,70,5.99
251,dry grape,fruits,70,2.99
252,soap grape,cleaning,70,1.99
253,soda 365ml grape,drinks,70,4.99
254,soda 700ml grape,drinks,70,4.99
255,soda 1L grape,drinks,70,4.99
256,"soda 1,5L grape",drinks,70,4.99
257,soda 2L grape,drinks,70,4.99
258,soap grape,cleaning,70,1.99
259,soda diet 365ml grape,drinks,70,4.99
260,soda diet 700ml grape,drinks,70,4.99
261,soda diet 1L grape,drinks,70,4.99
262,"soda diet 1,5L grape",drinks,70,4.99
263,soda diet 2L grape,drinks,70,4.99
264,juice 300ml grape,drinks,70,10.00
265,juice 600ml grape,drinks,70,10.00
266,juice 1L grape,drinks,70,10.00
267,juice 2L grape,drinks,70,10.00
268,juice diet 300ml grape,drinks,70,10.00
269,juice diet 600ml grape,drinks,70,10.00
270,juice diet 1L grape,drinks,70,10.00
271,juice diet 2L grape,drinks,70,10.00
272,whey protein 900g grape,suplements,70,40.00
273,whey protein 2kg grape,suplements,70,100.00
274,whey protein 5kg grape,suplements,70,180.00
275,whey protein isolado 900g grape,suplements,70,40.00
276,whey protein isolado 2kg grape,suplements,70,100.00
277,whey protein isolado 5kg grape,suplements,70,180.00
278,whey protein hisdrolisado 900g grape,suplements,70,500.00
279,whey protein hisdrolisado 2kg grape,suplements,70,1000.00
280,whey protein hisdrolisado 5kg grape,suplements,70,1500.00
281,ice cream grape,ice cream,70,5.00
282,5L ice cream grape,ice cream,70,25.99
283,absolute 300ml grape,vodka,70,70.00
284,absolute 600ml grape,vodka,70,70.00
285,absolute 700ml grape,vodka,70,70.00
286,absolute 1L grape,vodka,70,70.00
287,"absolute 1,5L grape",vodka,70,70.00
288,absolute 5L grape,vodka,70,70.00
289,smirnoff ice grape,drink,70,9.99
290,absolute zero 300ml grape,vodka,70,70.00
291,absolute zero 600ml grape,vodka,70,70.00
292,absolute zero 700ml grape,vodka,70,70.00
293,absolute zero 1L grape,vodka,70,70.00
294,"absolute zero 1,5L grape",vodka,70,70.00
295,absolute zero 5L grape,vodka,70,70.00
296,smirnoff ice grape,drink,70,9.99
297,51 ice grape,drink,70,9.99
298,skol beats grape,drink,70,9.99
299,absolute light 300ml grape,vodka,70,70.00
300,absolute light 600ml grape,vodka,70,70.00
301,absolute light 700ml grape,vodka,70,70.00
302,absolute light 1L grape,vodka,70,70.00
303,"absolute light 1,5L grape",vodka,70,70.00
304,absolute light 5L grape,vodka,70,70.00
305,absolute condensed 300ml grape,vodka,70,70.00
306,absolute condensed 600ml grape,vodka,70,70.00
307,absolute condensed 700ml grape,vodka,70,70.00
